2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Поддержка Gigabit = Да
2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Встроенный модуль = 5.1
2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Поддержка = a/b/g/n/ac
2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Обработка группы: Цвет
2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Цвет = серый
2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Обработка группы: Вес
2025-06-17 00:04:47 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Вес = 0.517 кг
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Обработка группы: Габаритные размеры
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Габаритные размеры = 5.61*12.7*12.75 см
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Ширина = 12.7 см
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Высота = 5.61 см
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Глубина = 12.75 см
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Успешно извлечено 14 групп характеристик
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Успешно обработан товар 1 из 10: https://www.mvideo.ru/products/sistemnyi-blok-mini-irbis-smartdesk-mini-pc-imfpc102-400108986
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Результат сохранен для товара 1 из 10: https://www.mvideo.ru/products/sistemnyi-blok-mini-irbis-smartdesk-mini-pc-imfpc102-400108986
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | [Thread-126438669809344] Отправка данных на API для товара 400108986. Payload: {"product_info": "Артикул: 400108986\nНаименование: Системный блок мини Irbis Smartdesk mini PC IMFPC102\nГарантия: 1 год\nГарантия 1: производителем\nСтрана: Китай\nСерия: Smartdesk\nОперационная: Windows 11 Pro 64\nТип: Intel Core i5 8279U 2.4 ГГц\nМодель: 8279U\nМодель 1: Core i5\nБазовая частота: 2.4 ГГц\nКоличество: 4\nПроизводитель: Intel\nМаксимальная тактовая: 4.1 ГГц\nОперативная память: 8 ГБ\nТип оперативной: DDR4\nЧастота: 2666 МГц\nМаксимальная оперативная: 64 ГБ\nВидеокарта: Intel Iris Plus Graphics 655\nОбъем: 256 ГБ\nОбъем 1: 256 ГБ\nМощность блока: 65 Вт\nПорт USB 3.0 тип: 2 шт\nDisplayPort: 1 шт\nВыход: 1 шт\nLAN разъем: 2 шт\nРазъем для наушников/микрофона: 1 шт\nТип карты: отсутствует\nПоддержка Gigabit: Да\nВстроенный модуль: 5.1\nПоддержка: a/b/g/n/ac\nЦвет: серый\nВес: 0.517 кг\nГабаритные размеры: 5.61*12.7*12.75 см\nШирина: 12.7 см\nВысота: 5.61 см\nГлубина: 12.75 см", "ean": "400108986", "source": "МВидео", "template_id": 0, "img": "https://img.mvideo.ru/Big/small_pic/200/400108986bb.jpg, https://img.mvideo.ru/Big/small_pic/200/400108986bb1.jpg, https://img.mvideo.ru/Big/small_pic/200/400108986bb2.jpg, https://img.mvideo.ru/Big/small_pic/200/400108986bb3.jpg, https://img.mvideo.ru/Pdb/small_pic/200/400108986b4.jpg, https://img.mvideo.ru/Big/small_pic/200/400108986bb5.jpg", "parsing_result": {}, "check_result": {}}
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | [Thread-126438669809344] Успешная отправка данных на API. Ответ: {"id":283,"created_at":"2025-06-15T20:48:53.322225","updated_at":"2025-06-17T00:04:48.207356","source":"МВидео","ean":"400108986","product_info":"Артикул: 400108986\nНаименование: Системный блок мини Irbis Smartdesk mini PC IMFPC102\nГарантия: 1 год\nГарантия 1: производителем\nСтрана: Китай\nСерия: Smartdesk\nОперационная: Windows 11 Pro 64\nТип: Intel Core i5 8279U 2.4 ГГц\nМодель: 8279U\nМодель 1: Core i5\nБазовая частота: 2.4 ГГц\nКоличество: 4\nПроизводитель: Intel\nМаксимальная тактовая: 4.1 ГГц\nОперативная память: 8 ГБ\nТип оперативной: DDR4\nЧастота: 2666 МГц\nМаксимальная оперативная: 64 ГБ\nВидеокарта: Intel Iris Plus Graphics 655\nОбъем: 256 ГБ\nОбъем 1: 256 ГБ\nМощность блока: 65 Вт\nПорт USB 3.0 тип: 2 шт\nDisplayPort: 1 шт\nВыход: 1 шт\nLAN разъем: 2 шт\nРазъем для наушников/микрофона: 1 шт\nТип карты: отсутствует\nПоддержка Gigabit: Да\nВстроенный модуль: 5.1\nПоддержка: a/b/g/n/ac\nЦвет: серый\nВес: 0.517 кг\nГабаритные размеры: 5.61*12.7*12.75 см\nШирина: 12.7 см\nВысота: 5.61 см\nГлубина: 12.75 см","info_hash":"b25b6b700c963a0666293eca08149f0292b09403992d5a40f35fe04844759c9a","parsing_result":null,"check_result":null,"user_id":11,"template_id":2}
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | [Thread-126438669809344] Сохранено 1 обработанных URL в файл
2025-06-17 00:04:48 | INFO     | [Thread-126438669809344] | Начинаем обработку товара 2 из 10: https://www.mvideo.ru/products/sistemnyi-blok-mini-irbis-smartdesk-mini-pc-imfpc106-400108987
2025-06-17 00:04:51 | INFO     | [Thread-126438669809344] | Получено название товара (селектор h1.title): Системный блок мини Irbis Smartdesk mini PC IMFPC106
2025-06-17 00:04:51 | INFO     | [Thread-126438669809344] | Получен код товара (селектор .product-code-container span:last-child): 400108987
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Найдена галерея по селектору: .wrapper.mv-hide-scrollbar
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Добавлено изображение: https://img.mvideo.ru/Big/small_pic/200/400108987bb.jpg
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Добавлено изображение: https://img.mvideo.ru/Big/small_pic/200/400108987bb1.jpg
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Добавлено изображение: https://img.mvideo.ru/Big/small_pic/200/400108987bb2.jpg
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Добавлено изображение: https://img.mvideo.ru/Big/small_pic/200/400108987bb3.jpg
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Добавлено изображение: https://img.mvideo.ru/Big/small_pic/200/400108987bb4.jpg
2025-06-17 00:04:53 | INFO     | [Thread-126438669809344] | Переход на страницу спецификации: https://www.mvideo.ru/products/sistemnyi-blok-mini-irbis-smartdesk-mini-pc-imfpc106-400108987/specification
2025-06-17 00:04:56 | INFO     | [Thread-126438669809344] | Найдено групп характеристик: 14
2025-06-17 00:04:56 | INFO     | [Thread-126438669809344] | Обработка группы: Заводские данные
2025-06-17 00:04:56 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Гарантия = 1 год
2025-06-17 00:04:56 | INFO     | [Thread-126438669809344] | Дублирующееся название характеристики 'Гарантия' переименовано в 'Гарантия 1' (значение: производителем)
2025-06-17 00:04:56 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Гарантия 1 = производителем
2025-06-17 00:04:56 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Страна = Китай
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Серия модели
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Серия = Smartdesk
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Операционная система
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Операционная = Windows 11 Pro 64
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Процессор
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Тип = AMD Ryzen 7 3750H 2.3 ГГц
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Модель = 3750H
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Дублирующееся название характеристики 'Модель' переименовано в 'Модель 1' (значение: Ryzen 7)
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Модель 1 = Ryzen 7
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Базовая частота = 2.3 ГГц
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Количество = 4
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Производитель = AMD
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Максимальная тактовая = 4 ГГц
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Оперативная память
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Оперативная память = 16 ГБ
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Тип оперативной = DDR4
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Частота = 2666 МГц
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Максимальная оперативная = 64 ГБ
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Видеокарта
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Видеокарта = Radeon RX Vega 10
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Жесткий диск
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Объем = 512 ГБ
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Дублирующееся название характеристики 'Объем' переименовано в 'Объем 1' (значение: 512 ГБ)
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Объем 1 = 512 ГБ
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Электропитание
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Мощность блока = 65 Вт
2025-06-17 00:04:57 | INFO     | [Thread-126438669809344] | Обработка группы: Интерфейсы
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Порт USB 3.0 тип = 2 шт
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: DisplayPort = 1 шт
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Выход = 1 шт
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: LAN разъем = 1 шт
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Разъем для наушников/микрофона = 1 шт
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Обработка группы: Карта памяти
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Тип карты = отсутствует
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Обработка группы: Передача данных
2025-06-17 00:04:58 | INFO     | [Thread-126438669809344] | Добавлена характеристика: Поддержка Gigabit = Да
